Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,35.07B
AA,Alcoa,Aluminum,5.04B
AAC,Ares Acquisition,Shell Companies,754.76M
AACG,ATA Creativity Global,Education & Training Services,38.85M
AACI,Armada Acquisition I,Shell Companies,85.65M
AACT,Ares Acquisition Corporation II,Shell Companies,639.44M
AADI,Aadi Bioscience,Biotechnology,174.83M
AAIC,Arlington Asset Investment,REIT - Mortgage,130.88M
AAL,American Airlines Group,Airlines,9.53B
AAMC,Altisource Asset Management,Asset Management,15.15M
AAME,Atlantic American,Insurance - Life,40.80M
AAN,The Aaron's Company,Rental & Leasing Services,366.42M
AAOI,Applied Optoelectronics,Semiconductors,417.35M
AAON,"AAON, Inc.",Building Products & Equipment,4.95B
AAP,Advance Auto Parts,Specialty Retail,3.81B
AAPL,Apple,Consumer Electronics,"2,792.42B"
AAT,American Assets Trust,REIT - Diversified,1.60B
AAU,Almaden Minerals,Gold,17.13M
AB,AllianceBernstein Holding L.P.,Asset Management,3.45B
ABBV,AbbVie,Drug Manufacturers - General,258.92B
ABC,AmerisourceBergen,Medical Distribution,36.05B
ABCB,Ameris Bancorp,Banks - Regional,2.73B
ABCL,AbCellera Biologics,Biotechnology,1.59B
ABCM,Abcam,Biotechnology,5.37B
ABEO,Abeona Therapeutics,Biotechnology,97.29M
ABEV,Ambev,Beverages - Brewers,45.04B
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4.50B
ABIO,ARCA biopharma,Biotechnology,29.54M
ABL,Abacus Life,Insurance-Life,450.80M
ABLV,Hainan Manaslu Acquisition,Shell Companies,52.45M
ABM,ABM Industries,Specialty Business Services,3.01B
ABNB,Airbnb,Travel Services,80.26B
ABOS,Acumen Pharmaceuticals,Biotechnology,364.57M
ABR,Arbor Realty Trust,REIT - Mortgage,2.90B
ABSI,Absci,Biotechnology,155.75M
ABT,Abbott Laboratories,Medical Devices,180.84B
ABUS,Arbutus Biopharma,Biotechnology,340.14M
ABVC,ABVC BioPharma,Biotechnology,6.76M
AC,Associated Capital Group,Capital Markets,768.44M
ACA,Arcosa,Infrastructure Operations,3.73B
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,114.93M
ACAC,Acri Capital Acquisition,Shell Companies,64.21M
ACAD,ACADIA Pharmaceuticals,Biotechnology,4.65B
ACAH,Atlantic Coastal Acquisition,Shell Companies,125.83M
ACAQ,Athena Consumer Acquisition,Shell Companies,116.68M
ACAX,Alset Capital Acquisition,Shell Companies,49.98M
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,171.91M
ACBA,Ace Global Business Acquisition,Shell Companies,43.24M
ACCD,Accolade,Health Information Services,979.42M
ACCO,ACCO Brands,Business Equipment & Supplies,460.35M
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1.63B
ACEL,Accel Entertainment,Gambling,977.88M
ACER,Acer Therapeutics,Biotechnology,13.82M
ACET,Adicet Bio,Biotechnology,71.92M
ACGL,Arch Capital Group,Insurance - Diversified,27.83B
ACGN,Aceragen,Biotechnology,3.24M
ACHC,Acadia Healthcare Company,Medical Care Facilities,6.99B
ACHL,Achilles Therapeutics,Biotechnology,36.85M
ACHR,Archer Aviation,Aerospace & Defense,1.48B
ACHV,Achieve Life Sciences,Biotechnology,97.93M
ACI,Albertsons Companies,Grocery Stores,12.71B
ACIC,American Coastal Insurance,Shell Companies,316.40M
ACIU,AC Immune,Biotechnology,255.61M
ACIW,ACI Worldwide,Software - Infrastructure,2.52B
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,5.51B
ACLX,Arcellx,Biotechnology,1.72B
ACM,AECOM,Engineering & Construction,12.05B
ACMR,ACM Research,Semiconductor Equipment & Materials,931.55M
ACN,Accenture,Information Technology Services,201.07B
ACNB,ACNB Corporation,Banks - Regional,288.62M
ACNT,Ascent Industries Co.,Steel,91.06M
ACON,Aclarion,Health Information Services,3.69M
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,18.35M
ACR,ACRES Commercial Realty,REIT - Mortgage,71.33M
ACRE,Ares Commercial Real Estate,REIT - Mortgage,536.78M
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,351.90M
ACRS,Aclaris Therapeutics,Diagnostics & Research,488.48M
ACRV,Acrivon Therapeutics,Biotechnology,264.87M
ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,17.81M
ACST,Acasti Pharma,Biotechnology,15.01M
ACT,Enact Holdings,Insurance - Specialty,4.63B
ACTG,Acacia Research,Specialty Business Services,383.56M
ACU,Acme United,Household & Personal Products,111.29M
ACVA,ACV Auctions,Auto & Truck Dealerships,2.50B
ACXP,Acurx Pharmaceuticals,Biotechnology,24.32M
ADAG,Adagene,Biotechnology,52.74M
ADAP,Adaptimmune Therapeutics,Biotechnology,176.41M
ADBE,Adobe,Software - Infrastructure,239.32B
ADC,Agree Realty,REIT - Retail,5.98B
ADCT,ADC Therapeutics,Biotechnology,104.03M
ADD,Color Star Technology Co.,Entertainment,18.51M
ADEA,Adeia,Software - Application,1.05B
ADER,26 Capital Acquisition,Shell Companies,115.93M
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,61.57M
ADEX,Adit EdTech Acquisition,Shell Companies,94.52M
ADI,Analog Devices,Semiconductors,88.78B
ADIL,Adial Pharmaceuticals,Biotechnology,4.18M
ADM,Archer-Daniels-Midland Company,Farm Products,43.33B
ADMA,ADMA Biologics,Biotechnology,888.38M
ADMP,Adamis Pharmaceuticals,Drug Manufacturers - Specialty & Generic,6.28M
ADN,Advent Technologies Holdings,Utilities - Renewable,33.58M
ADNT,Adient,Auto Parts,3.63B
ADOC,Edoc Acquisition,Shell Companies,41.16M
ADP,Automatic Data Processing,Staffing & Employment Services,104.28B
ADPT,Adaptive Biotechnologies,Biotechnology,888.96M
ADRT,Ault Disruptive Technologies,Shell Companies,165.17M
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,377.67M
ADSK,Autodesk,Software - Application,46.15B
ADT,ADT Inc.,Security & Protection Services,5.79B
ADTH,AdTheorent Holding Company,Advertising Agencies,119.08M
ADTN,ADTRAN Holdings,Communication Equipment,634.18M
ADTX,Aditxt,Biotechnology,1.70M
ADUS,Addus HomeCare,Medical Care Facilities,1.45B
ADV,Advantage Solutions,Advertising Agencies,866.55M
ADVM,Adverum Biotechnologies,Biotechnology,161.59M
ADXN,Addex Therapeutics,Biotechnology,9.43M
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,93.78M
AEAE,AltEnergy Acquisition,Shell Companies,77.67M
AEE,Ameren,Utilities - Regulated Electric,21.13B
AEG,Aegon,Insurance - Diversified,9.81B
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,9.00M
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,1.18B
AEI,Alset EHome International,Real Estate - Development,12.10M
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,4.24B
AEL,American Equity Investment Life Holding Company,Insurance - Life,4.20B
AEM,Agnico Eagle Mines,Gold,23.41B
AEMD,Aethlon Medical,Medical Devices,7.45M
AENT,Alliance Entertainment Holding,Entertainment,243.10M
AENZ,Aenza,Engineering & Construction,148.44M
AEO,American Eagle Outfitters,Apparel Retail,3.12B
AEON,AEON Biopharma,Biotechnology,171.00M
AEP,American Electric Power Company,Utilities - Regulated Electric,40.87B
AER,AerCap Holdings,Rental & Leasing Services,14.39B
AES,The AES Corporation,Utilities - Diversified,12.09B
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,2.10B
AEVA,Aeva Technologies,Auto Parts,222.24M
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,5.64M
AEYE,AudioEye,Software - Application,55.84M
AEZS,Aeterna Zentaris,Biotechnology,13.31M
AFAR,Aura FAT Projects Acquisition,Shell Companies,156.78M
AFBI,Affinity Bancshares,Banks - Regional,92.99M
AFCG,AFC Gamma,REIT - Specialty,265.13M
AFG,American Financial Group,Insurance - Property & Casualty,9.73B
AFIB,Acutus Medical,Medical Devices,14.88M
AFL,Aflac,Insurance - Life,44.86B
AFMD,Affimed,Biotechnology,81.70M
AFRI,Forafric Global,Farm Products,301.05M
AFRM,Affirm Holdings,Software - Infrastructure,5.26B
AFYA,Afya Limited,Education & Training Services,1.36B
AG,First Majestic Silver,Silver,1.70B
AGAE,Allied Gaming & Entertainment,Entertainment,31.45M
AGBA,AGBA Acquisition,Shell Companies,41.83M
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8.92B
AGE,AgeX Therapeutics,Biotechnology,29.60M
AGEN,Agenus,Biotechnology,497.24M
AGFY,Agrify,Engineering & Construction,3.91M
AGI,Alamos Gold,Gold,4.79B
AGIL,AgileThought,Software - Application,19.68M
AGIO,Agios Pharmaceuticals,Biotechnology,1.50B
AGL,agilon health,Medical Care Facilities,7.14B
AGLE,Aeglea BioTherapeutics,Biotechnology,52.92M
AGM,Federal Agricultural Mortgage,Credit Services,1.77B
AGM.A,Federal Agricultural Mortgage,Credit Services,1.78B
AGMH,AGM Group Holdings,Software - Application,40.51M
AGNC,AGNC Investment,REIT - Mortgage,5.92B
AGO,Assured Guaranty,Insurance - Specialty,3.39B
AGR,Avangrid,Utilities - Regulated Electric,13.51B
AGRI,AgriFORCE Growing Systems,Farm Products,4.16M
AGRO,Adecoagro,Farm Products,1.21B
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,3.97M
AGS,PlayAGS,Gambling,244.94M
AGTI,Agiliti,Health Information Services,1.28B
AGX,Argan,Engineering & Construction,553.32M
AGYS,Agilysys,Software - Application,1.74B
AHCO,AdaptHealth,Medical Devices,1.58B
AHG,Akso Health Group,Credit Services,10.72M
AHH,Armada Hoffler Properties,REIT - Diversified,1.01B
AHI,Advanced Human Imaging,Software - Application,106.15M
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,103.79M
AI,C3.ai,Information Technology Services,3.44B
AIB,AIB Acquisition,Shell Companies,40.09M
AIG,American International Group,Insurance - Diversified,41.87B
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,28.95M
AIHS,Senmiao Technology,Credit Services,3.99M
AIM,AIM ImmunoTech,Biotechnology,32.56M
